ym,gross,net,cost,turnover,n_holdings,ew_topn,univ_ew,n_candidates,pred_vol_ann
2023-02,-0.0009298603648324084,-0.0012341123598727472,0.0003042519950403387,0.10141733168011291,28,0.0019480430633539525,0.014230048683743763,2152,0.09800118252338677
2023-03,0.016044903134927586,0.014977375220689886,0.0010675279142377005,0.3558426380792335,27,0.01262127862285623,0.0001502770533915121,2168,0.09997258761488967
2023-04,0.018863223035895927,0.0183547668169506,0.0005084562189453263,0.16948540631510878,27,0.030996077729632584,0.03565098072134405,2170,0.10974508036932858
2023-05,-0.006947264847358636,-0.00797735002614735,0.0010300851787887135,0.34336172626290445,25,0.004828381855083892,0.0130320497697601,2165,0.10581098597163745
2023-06,-0.030900613252335864,-0.031088467502993662,0.00018785425065779616,0.06261808355259872,26,-0.03597658574651409,-0.032210199919249165,2179,0.10692999978590029
2023-07,0.03139000434469892,0.030901551582061884,0.000488452762637036,0.16281758754567865,23,0.02159873329100822,0.0207066255611123,2185,0.11147614625795906
2023-08,-0.004609961764039449,-0.004739654790516154,0.00012969302647670468,0.043231008825568226,23,-0.017807733164015172,-0.05628400448545793,2182,0.10813923619573762
2023-09,-0.020042066733512526,-0.02088419574505061,0.0008421290115380849,0.28070967051269496,23,-0.029807561906954803,-0.07887316897550752,2189,0.10296518970792158
2023-10,0.042741321814891486,0.0427370644812057,4.257333685788439e-06,0.0014191112285961462,23,0.05398382269293799,0.08576891438168135,2201,0.1022377292644174
2023-11,0.03728395304095776,0.03705620405932198,0.00022774898163577725,0.07591632721192575,24,0.04110003245241832,0.042438680050852474,2205,0.10252983162165549
2023-12,0.002249605511190035,0.001936860532657775,0.0003127449785322601,0.10424832617742003,25,-0.009602816485802449,-0.027121603739023194,2208,0.09525974291101506
2024-01,0.04061218114280783,0.04017490303804715,0.0004372781047606856,0.14575936825356187,25,0.031713544543480285,0.02822300713896539,2205,0.09154387875006606
2024-02,0.0034149153659868746,0.0023522300863742995,0.0010626852796125751,0.354228426537525,24,0.007621670699581704,0.015647469391817007,2208,0.09342499590675062
2024-03,0.018967598112589776,0.018594137660968516,0.0003734604516212612,0.12448681720708707,25,0.00976961284368144,-0.012423783744230222,2213,0.0937760671542371
2024-04,0.02643396365969507,0.025938666959064063,0.0004952967006310065,0.16509890021033552,25,0.006324813294476046,0.003629376822328741,2203,0.0928327975487702
2024-05,0.004713072900586166,0.004113227230056805,0.0005998456705293609,0.1999485568431203,27,0.002824197971158337,-0.011695635832793623,2200,0.08694152734700056
